person,Purple,angry
person,Blue,angry
person,Red,angry
person,Red,neutral
person,Red,neutral
person,Red,neutral
person,Red,neutral
person,Red,neutral
person,Red,neutral
person,Red,neutral
person,Red,neutral
person,Red,neutral
person,Red,neutral
person,Red,neutral
person,Red,neutral
person,Red,neutral
person,Red,neutral
person,Red,neutral
person,Red,neutral
person,Red,neutral
person,Red,neutral
person,Red,neutral
person,Red,sad
person,Red,neutral
person,Red,happy
person,Red,happy
person,Red,neutral
person,Red,happy
person,Red,neutral
person,Red,neutral
person,Red,neutral
person,Red,neutral
person,Red,neutral
person,Red,sad
person,Red,neutral
person,Red,neutral
person,Red,neutral
person,Red,neutral
person,Red,neutral
person,Red,neutral
person,Red,angry
person,Red,neutral
person,Red,neutral
person,Red,sad
person,Red,sad
person,Red,happy
person,Red,sad
person,Red,sad
person,Red,neutral
person,Red,neutral
person,Red,neutral
person,Red,neutral
person,Red,neutral
person,Red,neutral
person,Red,neutral
person,Red,neutral
person,Red,neutral
person,Red,neutral
person,Red,neutral
person,Red,neutral
person,Red,neutral
